"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23572","D11C17T","CML312",1,1,14,">9",7,"Tip",57,"CML312_7_14",58,"TG_52_1_16_0_18_0_18_1",4259
"23573","D11C27T","CML312",1,2,11,">9",7,"Tip",57,"CML312_7_11",58,"TG_52_1_16_0_18_0_18_1",5013
"23574","D11P17T","PT",1,1,14,">9",7,"Tip",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",4973
"23575","D11P27T","PT",1,2,14,">9",7,"Tip",57,"PT_7_14",58,"TG_52_1_16_0_18_0_18_1",1803
"23576","D11B19B","B73",1,1,12,">9",9,"Base",57,"B73_9_12",58,"TG_52_1_16_0_18_0_18_1",1752
"23577","D11B29B","B73",1,2,11,">9",9,"Base",57,"B73_9_11",58,"TG_52_1_16_0_18_0_18_1",1921
"23578","D11C19B","CML312",1,1,14,">9",9,"Base",57,"CML312_9_14",58,"TG_52_1_16_0_18_0_18_1",6907
"23579","D11C29B","CML312",1,2,11,">9",9,"Base",57,"CML312_9_11",58,"TG_52_1_16_0_18_0_18_1",4128
"23580","D11P19B","PT",1,1,14,">9",9,"Base",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",2186
"23581","D11P29B","PT",1,2,14,">9",9,"Base",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",6355
"23582","D11B19C","B73",1,1,12,">9",9,"Center",57,"B73_9_12",58,"TG_52_1_16_0_18_0_18_1",2685
"23583","D11B29C","B73",1,2,11,">9",9,"Center",57,"B73_9_11",58,"TG_52_1_16_0_18_0_18_1",3800
"23584","D11P19C","PT",1,1,14,">9",9,"Center",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",5881
"23585","D11P29C","PT",1,2,14,">9",9,"Center",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",3230
"23586","D11C19C","CML312",1,1,14,">9",9,"Center",57,"CML312_9_14",58,"TG_52_1_16_0_18_0_18_1",3987
"23587","D11C29C","CML312",1,2,11,">9",9,"Center",57,"CML312_9_11",58,"TG_52_1_16_0_18_0_18_1",3697
"23588","D11B19T","B73",1,1,12,">9",9,"Tip",57,"B73_9_12",58,"TG_52_1_16_0_18_0_18_1",2405
"23589","D11B29T","B73",1,2,11,">9",9,"Tip",57,"B73_9_11",58,"TG_52_1_16_0_18_0_18_1",3916
"23590","D11C19T","CML312",1,1,14,">9",9,"Tip",57,"CML312_9_14",58,"TG_52_1_16_0_18_0_18_1",6286
"23591","D11C29T","CML312",1,2,11,">9",9,"Tip",57,"CML312_9_11",58,"TG_52_1_16_0_18_0_18_1",4256
"23592","D11P19T","PT",1,1,14,">9",9,"Tip",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",4384
"23593","D11P29T","PT",1,2,14,">9",9,"Tip",57,"PT_9_14",58,"TG_52_1_16_0_18_0_18_1",2806
"23594","D11B111B","B73",1,1,12,">9",11,"Base",57,"B73_11_12",58,"TG_52_1_16_0_18_0_18_1",2956
"23595","D11B211B","B73",1,2,11,">9",11,"Base",57,"B73_11_11",58,"TG_52_1_16_0_18_0_18_1",2958
"23596","D11C111B","CML312",1,1,14,">9",11,"Base",57,"CML312_11_14",58,"TG_52_1_16_0_18_0_18_1",3585
"23597","D11C211B","CML312",1,2,11,">9",11,"Base",57,"CML312_11_11",58,"TG_52_1_16_0_18_0_18_1",2567
"23598","D11P111B","PT",1,1,14,">9",11,"Base",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",1851
"23599","D11P211B","PT",1,2,14,">9",11,"Base",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",2221
"23600","D11B111C","B73",1,1,12,">9",11,"Center",57,"B73_11_12",58,"TG_52_1_16_0_18_0_18_1",1652
"23601","D11B211C","B73",1,2,11,">9",11,"Center",57,"B73_11_11",58,"TG_52_1_16_0_18_0_18_1",3995
"23602","D11P111C","PT",1,1,14,">9",11,"Center",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",3127
"23603","D11P211C","PT",1,2,14,">9",11,"Center",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",4086
"23604","D11C111C","CML312",1,1,14,">9",11,"Center",57,"CML312_11_14",58,"TG_52_1_16_0_18_0_18_1",5285
"23605","D11C211C","CML312",1,2,11,">9",11,"Center",57,"CML312_11_11",58,"TG_52_1_16_0_18_0_18_1",2882
"23606","D11B111T","B73",1,1,12,">9",11,"Tip",57,"B73_11_12",58,"TG_52_1_16_0_18_0_18_1",4868
"23607","D11B211T","B73",1,2,11,">9",11,"Tip",57,"B73_11_11",58,"TG_52_1_16_0_18_0_18_1",2685
"23608","D11P111T","PT",1,1,14,">9",11,"Tip",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",7085
"23609","D11P211T","PT",1,2,14,">9",11,"Tip",57,"PT_11_14",58,"TG_52_1_16_0_18_0_18_1",2967
"23610","D11C111T","CML312",1,1,14,">9",11,"Tip",57,"CML312_11_14",58,"TG_52_1_16_0_18_0_18_1",4140
"23611","D11C211T","CML312",1,2,11,">9",11,"Tip",57,"CML312_11_11",58,"TG_52_1_16_0_18_0_18_1",3400
"23612","D11B113B","B73",1,1,12,">9",13,"Base",57,"B73_13_12",58,"TG_52_1_16_0_18_0_18_1",4609
"23613","D11B213B","B73",1,2,11,">9",13,"Base",57,"B73_13_11",58,"TG_52_1_16_0_18_0_18_1",7853
"23614","D11C113B","CML312",1,1,14,">9",13,"Base",57,"CML312_13_14",58,"TG_52_1_16_0_18_0_18_1",4985
"23615","D11C213B","CML312",1,2,11,">9",13,"Base",57,"CML312_13_11",58,"TG_52_1_16_0_18_0_18_1",5714
"23616","D11P113B","PT",1,1,14,">9",13,"Base",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",2376
"23617","D11P213B","PT",1,2,14,">9",13,"Base",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",2124
"23618","D11B113C","B73",1,1,12,">9",13,"Center",57,"B73_13_12",58,"TG_52_1_16_0_18_0_18_1",2315
"23619","D11B213C","B73",1,2,11,">9",13,"Center",57,"B73_13_11",58,"TG_52_1_16_0_18_0_18_1",1660
"23620","D11C113C","CML312",1,1,14,">9",13,"Center",57,"CML312_13_14",58,"TG_52_1_16_0_18_0_18_1",3394
"23621","D11C213C","CML312",1,2,11,">9",13,"Center",57,"CML312_13_11",58,"TG_52_1_16_0_18_0_18_1",2945
"23622","D11P113C","PT",1,1,14,">9",13,"Center",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",2108
"23623","D11P213C","PT",1,2,14,">9",13,"Center",57,"PT_13_14",58,"TG_52_1_16_0_18_0_18_1",2534
"23624","D11B113T","B73",1,1,12,">9",13,"Tip",57,"B73_13_12",58,"TG_52_1_16_0_18_0_18_1",2632
